company,year,provider,raw_score,normalized_score,environment_score,social_score,governance_score,confidence,ranking,keywords,interpretation_basis,methodology_source,methodology_url,normalization_note,methodology_gap,data_gap,weighting_difference
Schneider Electric,2022,S&P CSA,~85,85.0,88.0,82.0,81.0,88,Top 5%,net-zero,Analyst interpretation based on public methodology,S&P Global CSA Methodology,https://www.spglobal.com/esg/csa/csa-resources/csa-methodology,Reported CSA total score is used directly; approximate values like ~87 are parsed as 87.,"CSA uses a questionnaire-led sector assessment, so detailed evidence and response coverage can move scores differently than public-data providers.",Earlier years may have incomplete E/S/G pillars; ranking and keywords are retained from the source table.,"Sector materiality spreads weight across climate, energy efficiency, human capital, innovation, and governance."
Schneider Electric,2022,Sustainalytics,18,82.0,93.0,94.0,95.0,85,Top 10%,stable risk,Analyst interpretation based on public methodology,Morningstar Sustainalytics ESG Risk Ratings Methodology,https://connect.sustainalytics.com/esg-risk-ratings-methodology,ESG Risk Score is inverted as normalized_score = 100 - Risk Score because lower raw risk is better.,"Sustainalytics is risk-oriented: lower raw ESG Risk Score is better, so it is inverted for 0-100 comparison.","Risk components reflect exposure and unmanaged risk, not the same evidence base as questionnaire or disclosure scores.",Unmanaged financially material risk carries more weight than broad disclosure volume.
Schneider Electric,2023,CDP,Climate A; Water A; Forest B,88.33333333333333,95.0,,,84,A List,sustainability leader,Analyst interpretation based on public methodology,CDP Corporate Scoring Methodology / Understand your score,https://help.cdp.net/en-US/knowledgebase/article/KA-01160,"Climate, Water, and Forest letter grades are mapped to numeric values, then averaged where available.","CDP is environment-disclosure focused, so its normalized score reflects climate, water, and forest grades rather than full ESG coverage.",Social and governance pillars are not native CDP fields in the source table and are left blank.,Environmental disclosure and transition performance dominate the aggregate.
Schneider Electric,2023,MSCI,AAA,95.0,95.0,95.0,95.0,82,Leader,best-in-class,Analyst interpretation based on public methodology,MSCI ESG Ratings Methodology,https://www.msci.com/downloads/documents/access/sustainability-and-climate-resources-and-disclosures/msci-sustainability-and-climate-methodologies/esg-ratings/core-methodologies/esg-ratings-methodology.pdf,"Letter rating mapped to 0-100 scale: A=70, AA=85, AAA=95 in the current source table.",MSCI ratings are peer-relative letter grades; they are mapped to a normalized scale for dashboard comparison.,"Qualitative E/S/G labels are mapped to numeric values, so pillar scores are directional rather than raw provider points.",Industry-relative financial materiality and controversy management can outweigh broad disclosure completeness.
Schneider Electric,2023,S&P CSA,~87,87.0,90.0,84.0,83.0,88,Top 3%,industry leader,Analyst interpretation based on public methodology,S&P Global CSA Methodology,https://www.spglobal.com/esg/csa/csa-resources/csa-methodology,Reported CSA total score is used directly; approximate values like ~87 are parsed as 87.,"CSA uses a questionnaire-led sector assessment, so detailed evidence and response coverage can move scores differently than public-data providers.",Earlier years may have incomplete E/S/G pillars; ranking and keywords are retained from the source table.,"Sector materiality spreads weight across climate, energy efficiency, human capital, innovation, and governance."
Schneider Electric,2023,Sustainalytics,17,83.0,94.0,94.0,95.0,85,Top 5%,low risk,Analyst interpretation based on public methodology,Morningstar Sustainalytics ESG Risk Ratings Methodology,https://connect.sustainalytics.com/esg-risk-ratings-methodology,ESG Risk Score is inverted as normalized_score = 100 - Risk Score because lower raw risk is better.,"Sustainalytics is risk-oriented: lower raw ESG Risk Score is better, so it is inverted for 0-100 comparison.","Risk components reflect exposure and unmanaged risk, not the same evidence base as questionnaire or disclosure scores.",Unmanaged financially material risk carries more weight than broad disclosure volume.
Schneider Electric,2024,CDP,Climate A; Water A; Forest B,88.33333333333333,95.0,,,84,A List,environmental excellence,Analyst interpretation based on public methodology,CDP Corporate Scoring Methodology / Understand your score,https://help.cdp.net/en-US/knowledgebase/article/KA-01160,"Climate, Water, and Forest letter grades are mapped to numeric values, then averaged where available.","CDP is environment-disclosure focused, so its normalized score reflects climate, water, and forest grades rather than full ESG coverage.",Social and governance pillars are not native CDP fields in the source table and are left blank.,Environmental disclosure and transition performance dominate the aggregate.
Schneider Electric,2024,MSCI,AAA,95.0,95.0,95.0,95.0,82,Leader,sustained leader,Analyst interpretation based on public methodology,MSCI ESG Ratings Methodology,https://www.msci.com/downloads/documents/access/sustainability-and-climate-resources-and-disclosures/msci-sustainability-and-climate-methodologies/esg-ratings/core-methodologies/esg-ratings-methodology.pdf,"Letter rating mapped to 0-100 scale: A=70, AA=85, AAA=95 in the current source table.",MSCI ratings are peer-relative letter grades; they are mapped to a normalized scale for dashboard comparison.,"Qualitative E/S/G labels are mapped to numeric values, so pillar scores are directional rather than raw provider points.",Industry-relative financial materiality and controversy management can outweigh broad disclosure completeness.
Schneider Electric,2024,S&P CSA,~88,88.0,91.0,85.0,84.0,88,Top 3%,best-in-class,Analyst interpretation based on public methodology,S&P Global CSA Methodology,https://www.spglobal.com/esg/csa/csa-resources/csa-methodology,Reported CSA total score is used directly; approximate values like ~87 are parsed as 87.,"CSA uses a questionnaire-led sector assessment, so detailed evidence and response coverage can move scores differently than public-data providers.",Earlier years may have incomplete E/S/G pillars; ranking and keywords are retained from the source table.,"Sector materiality spreads weight across climate, energy efficiency, human capital, innovation, and governance."
Schneider Electric,2024,Sustainalytics,17,83.0,94.0,94.0,95.0,85,Top 5%,advanced ESG,Analyst interpretation based on public methodology,Morningstar Sustainalytics ESG Risk Ratings Methodology,https://connect.sustainalytics.com/esg-risk-ratings-methodology,ESG Risk Score is inverted as normalized_score = 100 - Risk Score because lower raw risk is better.,"Sustainalytics is risk-oriented: lower raw ESG Risk Score is better, so it is inverted for 0-100 comparison.","Risk components reflect exposure and unmanaged risk, not the same evidence base as questionnaire or disclosure scores.",Unmanaged financially material risk carries more weight than broad disclosure volume.
Schneider Electric,2025,CDP,Climate A/A-; Water A; Forest B,87.16666666666667,91.5,,,84,A List,stable performance,Analyst interpretation based on public methodology,CDP Corporate Scoring Methodology / Understand your score,https://help.cdp.net/en-US/knowledgebase/article/KA-01160,"Climate, Water, and Forest letter grades are mapped to numeric values, then averaged where available.","CDP is environment-disclosure focused, so its normalized score reflects climate, water, and forest grades rather than full ESG coverage.",Social and governance pillars are not native CDP fields in the source table and are left blank.,Environmental disclosure and transition performance dominate the aggregate.
Schneider Electric,2025,MSCI,AAA,95.0,95.0,95.0,95.0,82,Leader,ESG excellence,Analyst interpretation based on public methodology,MSCI ESG Ratings Methodology,https://www.msci.com/downloads/documents/access/sustainability-and-climate-resources-and-disclosures/msci-sustainability-and-climate-methodologies/esg-ratings/core-methodologies/esg-ratings-methodology.pdf,"Letter rating mapped to 0-100 scale: A=70, AA=85, AAA=95 in the current source table.",MSCI ratings are peer-relative letter grades; they are mapped to a normalized scale for dashboard comparison.,"Qualitative E/S/G labels are mapped to numeric values, so pillar scores are directional rather than raw provider points.",Industry-relative financial materiality and controversy management can outweigh broad disclosure completeness.
Schneider Electric,2025,S&P CSA,~87,87.0,90.0,84.0,83.0,88,Top 5%,ESG leadership,Analyst interpretation based on public methodology,S&P Global CSA Methodology,https://www.spglobal.com/esg/csa/csa-resources/csa-methodology,Reported CSA total score is used directly; approximate values like ~87 are parsed as 87.,"CSA uses a questionnaire-led sector assessment, so detailed evidence and response coverage can move scores differently than public-data providers.",Earlier years may have incomplete E/S/G pillars; ranking and keywords are retained from the source table.,"Sector materiality spreads weight across climate, energy efficiency, human capital, innovation, and governance."
Schneider Electric,2025,Sustainalytics,18,82.0,94.0,93.0,95.0,85,Top 10%,social risk change,Analyst interpretation based on public methodology,Morningstar Sustainalytics ESG Risk Ratings Methodology,https://connect.sustainalytics.com/esg-risk-ratings-methodology,ESG Risk Score is inverted as normalized_score = 100 - Risk Score because lower raw risk is better.,"Sustainalytics is risk-oriented: lower raw ESG Risk Score is better, so it is inverted for 0-100 comparison.","Risk components reflect exposure and unmanaged risk, not the same evidence base as questionnaire or disclosure scores.",Unmanaged financially material risk carries more weight than broad disclosure volume.
